drug,extracted_class
paroxetine hcl,serotonin reuptake inhibitor
trazodone,serotonin reuptake inhibitor
sertraline,serotonin reuptake inhibitor
escit,serotonin reuptake inhibitor
fluvoxamine maleate,serotonin reuptake inhibitor
escitalopram,serotonin reuptake inhibitor
lexapro,serotonin reuptake inhibitor
fluoxetine,serotonin reuptake inhibitor
escitalopram oxalate,serotonin reuptake inhibitor
amerge,serotonin-1b and serotonin-1d receptor agonist
ciprofloxacin hcl,serotonin-1b and serotonin-1d receptor agonist
maxalt-mlt,serotonin-1b and serotonin-1d receptor agonist
naratriptan,serotonin-1b and serotonin-1d receptor agonist
imitrex,serotonin-1b and serotonin-1d receptor agonist
rizatriptan,serotonin-1b and serotonin-1d receptor agonist
maxalt,serotonin-1b and serotonin-1d receptor agonist
sumatriptan succinate,serotonin-1b and serotonin-1d receptor agonist
ondanset,serotonin-3 receptor antagonist
onda,serotonin-3 receptor antagonist
zofran odt,serotonin-3 receptor antagonist
aloxi,serotonin-3 receptor antagonist
palonosetron,serotonin-3 receptor antagonist
ondansetron odt,serotonin-3 receptor antagonist
ondansetr,serotonin-3 receptor antagonist
ondan,serotonin-3 receptor antagonist
ondansetron,serotonin-3 receptor antagonist
ondanse,serotonin-3 receptor antagonist
zofran,serotonin-3 receptor antagonist
zofr,serotonin-3 receptor antagonist
ondansetro,serotonin-3 receptor antagonist
ond,serotonin-3 receptor antagonist
ondans,serotonin-3 receptor antagonist
dantrolene,skeletal muscle relaxant
dantolene,skeletal muscle relaxant
inv-dant,skeletal muscle relaxant
dnatrolene,skeletal muscle relaxant
dantrlene,skeletal muscle relaxant
dantrolene ,skeletal muscle relaxant
dantrolene sodium,skeletal muscle relaxant
tuberculin protein,skin test antigen
tuberculin ppd,skin test antigen
elotuzumab,slamf7-directed immunostimulatory antibody
empagliflozin,sodium-glucose cotransporter 2 inhibitor
farxiga,sodium-glucose cotransporter 2 inhibitor
dapagliflozin,sodium-glucose cotransporter 2 inhibitor
jardiance,sodium-glucose cotransporter 2 inhibitor
octreotide acetate,somatostatin analog
fosaprepitant,substance p/neurokinin-1 receptor antagonist
aprepitant,substance p/neurokinin-1 receptor antagonist
sulfacetamide-prednisolone ophth. susp.,sulfonamide antibacterial
blephamide,sulfonamide antibacterial
silver sulfadiazine 1% cream,sulfonamide antibacterial
sulfacetamide 10% ophth soln.,sulfonamide antibacterial
sulfadiazine,sulfonamide antibacterial
silvasorb,sulfonamide antibacterial
bactrim,sulfonamide antimicrobial
sulfamet,sulfonamide antimicrobial
bactrim ds,sulfonamide antimicrobial
sulfameth/trimeth ss (self med),sulfonamide antimicrobial
bactrim ,sulfonamide antimicrobial
sulfamethoxazole-trimethoprim,sulfonamide antimicrobial
sulfam,sulfonamide antimicrobial
sulfa,sulfonamide antimicrobial
sulfameth/trimethoprim suspension,sulfonamide antimicrobial
sulfameth,sulfonamide antimicrobial
sulfameth/trimethoprim ds,sulfonamide antimicrobial
sulfame,sulfonamide antimicrobial
sulfameth/trimethoprim,sulfonamide antimicrobial
sulfameth/trimethoprim ,sulfonamide antimicrobial
sulfameth/trimetho,sulfonamide antimicrobial
bactrim desensitization,sulfonamide antimicrobial
sulfameth/trimethopri,sulfonamide antimicrobial
sulfameth/trimethoprim ss,sulfonamide antimicrobial
dapsone,sulfone
glyburide prestab,sulfonylurea
glipizide,sulfonylurea
glyburide,sulfonylurea
glyburi,sulfonylurea
amaryl,sulfonylurea
glybur,sulfonylurea
glipizide xl,sulfonylurea
glybu,sulfonylurea
glimepiride,sulfonylurea
glipizide ,sulfonylurea
moda,sympathomimetic-like agent
modafinil,sympathomimetic-like agent
provigil,sympathomimetic-like agent
modafin,sympathomimetic-like agent
tigecycline,tetracycline-class antibacterial
nuzyra,tetracycline-class antibacterial
omadacycline,tetracycline-class antibacterial
tetracycline,tetracycline-class antimicrobial
minocycline,tetracycline-class drug
doxycycline hyclate (delayed-release),tetracycline-class drug
doxycycline hyclate,tetracycline-class drug
metronidazole,tetracycline-class drug
doxycycline,tetracycline-class drug
doxycycline hyclate desensitization,tetracycline-class drug
lena25inv,thalidomide analog
inv-lenalodomide,thalidomide analog
inv-lenalidomide,thalidomide analog
lenalodomide,thalidomide analog
lenalidomide,thalidomide analog
chlorothiazide sodium,thiazide diuretic
chlorothiazide,thiazide diuretic
triamterene-hctz (37.5/25),thiazide diuretic
hydrochlorothiazide,thiazide diuretic
zaroxolyn,thiazide-like diuretic
metolazone,thiazide-like diuretic
chlorthali,thiazide-like diuretic
indapamide,thiazide-like diuretic
chlorthalidone,thiazide-like diuretic
pioglitazone,thiazolidinedione
pioglitazone hcl,thiazolidinedione
eltrombopag,thrombopoietin receptor agonist
eltrombopag *nf*,thrombopoietin receptor agonist
romiplostim,thrombopoietin receptor agonist
promacta,thrombopoietin receptor agonist
propylt,thyroid hormone synthesis inhibitor
methimazole,thyroid hormone synthesis inhibitor
propylthiouracil enema,thyroid hormone synthesis inhibitor
propylthiouracil,thyroid hormone synthesis inhibitor
thyrogen,thyroid stimulating hormone
mitoxantrone,topoisomerase inhibitor
topotecan desensitization,topoisomerase inhibitor
etoposide,topoisomerase inhibitor
liposomal irinotecan (onivyde),topoisomerase inhibitor
topotecan,topoisomerase inhibitor
irinotecan,topoisomerase inhibitor
doxepin hcl,tricyclic antidepressant
doxepin,tricyclic antidepressant
desipramine,tricyclic antidepressant
imipramine,tricyclic antidepressant
amoxapine,tricyclic antidepressant
clomipramine,tricyclic antidepressant
imipramine hcl,tricyclic antidepressant
amitriptyline,tricyclic antidepressant
nortriptyline,tricyclic antidepressant
infliximab-dyyb (inflectra),tumor necrosis factor blocker
enbrel,tumor necrosis factor blocker
infliximab,tumor necrosis factor blocker
infliximab (remicade),tumor necrosis factor blocker
infliximab-abda (renflexis),tumor necrosis factor blocker
etanercept,tumor necrosis factor blocker
infliximab desensitization,tumor necrosis factor blocker
haloperidol ,typical antipsychotic
haloperidol decanoate,typical antipsychotic
halope,typical antipsychotic
haloperidol lactate,typical antipsychotic
pimozide,typical antipsychotic
thiothixene,typical antipsychotic
halop,typical antipsychotic
haloperidol,typical antipsychotic
haloper,typical antipsychotic
haloperidol decanoate (long acting),typical antipsychotic
bevacizumab (avastin),vascular endothelial growth factor inhibitor
bevacizumab-awwb (mvasi),vascular endothelial growth factor inhibitor
bevacizumab,vascular endothelial growth factor inhibitor
ramucirumab,vascular endothelial growth factor receptor 2 antagonist
angiotensin ii,vasoconstrictor
nitroprusside sodium,vasodilator
nitroprusside sodium ,vasodilator
tolvaptan,vasopressin v2 receptor antagonist
tetrabenazine,vesicular monoamine transporter 2 inhibitor
vinorelbine (navelbine),vinca alkaloid
vinblastine (velban),vinca alkaloid
vincristine,vinca alkaloid
vincristine (oncovin),vinca alkaloid
cyanoco,vitamin b12
cyanocobalamin,vitamin b12
cyanoc,vitamin b12
pyridoxine,vitamin b6 analog
multivitamins,vitamin c
ascorbic acid,vitamin c
multivitamin iv,vitamin c
inv-ascorbic acid,vitamin c
calcipotriene 0.005% cream,vitamin d analog
paricalcitol,vitamin d2 analog
zemplar,vitamin d2 analog
paricalcitol oral syringe,vitamin d2 analog
doxercalciferol,vitamin d2 analog
calcitriol,vitamin d3 analog
calcitriol oral solution *nf*,vitamin d3 analog
rocaltrol,vitamin d3 analog
phy,vitamin k
phytonadione,vitamin k
mephyton,vitamin k
phyto,vitamin k
phytonad,vitamin k
phyton,vitamin k
phyt,vitamin k
phytona,vitamin k
phytonadi,vitamin k
phytonadione (vitamin k1),vitamin k
warfarin,vitamin k antagonist
uloric,xanthine oxidase inhibitor
allo,xanthine oxidase inhibitor
allopurinol,xanthine oxidase inhibitor
febuxostat,xanthine oxidase inhibitor
levetiracetam,
chlorhexidine gluconate 0.12% oral rinse,
topiramate (topamax),
levetiracetam patch for allergy testing,
lacosamide,
mouth care oral rinse,
levetiracetam - stat dose,
metaxalone,
bacitracin ophthalmic oint,
levetiracetam oral solution,
sugammadex,
keppra xr,
lacosamide - stat dose,
brivaracetam,
cannabidiol (cbd) (epidiolex) oral soln,
vimpat,
trokendi xr,
skelaxin,
levetiracetam xr,
eslicarbazepine,
lacosamide *nf*,
aptiom,
bacitracin ,
keppra,
levetiracetam solution,
briviact,
levetirace,
keppra *brand name*,
keppra *** brand name only***,
thalidomide,
keppra 500 mg tab,
topiramate,
lacosamide oral solution,
droxidopa,
levetir,
brivaracetam oral solution,
peridex,
levetiracetam er,
levet,
metaxall,
epidiolex,
bacitracin,
chlorhexidine gluconate,
topamax,
levetiracetam **brand name**,
